"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,7,"",""
"2","2020-02-25T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,7,"",""
"3","2020-02-26T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,7,"",""
"4","2020-02-27T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,9,"",""
"5","2020-02-28T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,9,"",""
"6","2020-02-29T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,9,"",""
"7","2020-03-01T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,10,"",""
"8","2020-03-02T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,11,"",""
"9","2020-03-03T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,12,"",""
"10","2020-03-04T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,0,15,"",""
"11","2020-03-05T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,2,2,2,2,0,0,2,21,"",""
"12","2020-03-06T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,7,7,5,5,0,0,7,28,"",""
"13","2020-03-07T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,1,0,1,7,8,1,1,0,0,8,32,"",""
"14","2020-03-08T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,1,0,1,8,9,1,1,0,0,9,41,"",""
"15","2020-03-09T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,4,0,4,11,15,6,6,0,0,15,67,"",""
"16","2020-03-10T18:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,2,0,2,15,17,2,2,0,0,17,89,"",""
"17","2020-03-11T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,2,0,2,17,19,2,3,0,1,20,99,"",""
"18","2020-03-12T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,7,0,7,19,26,7,7,0,1,27,118,"",""
"19","2020-03-13T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,6,0,6,21,27,1,1,0,1,28,189,"",""
"20","2020-03-14T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,12,0,12,29,41,14,14,0,1,42,231,"",""
"21","2020-03-15T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,10,3,13,43,56,15,15,0,1,57,230,"",""
"22","2020-03-16T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,28,5,33,70,103,47,48,0,2,105,287,"",""
"23","2020-03-17T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,35,6,41,93,134,31,31,0,2,136,398,"",""
"24","2020-03-18T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,41,3,44,118,162,28,29,0,3,165,486,"",""
"25","2020-03-19T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,47,9,56,153,209,47,50,0,6,215,608,"",""
"26","2020-03-20T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,54,9,63,194,257,48,49,0,7,264,814,"",""
"27","2020-03-21T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,62,15,77,227,304,47,49,1,8,313,884,"",""
"28","2020-03-22T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,63,21,84,270,354,50,51,1,9,364,950,"",""
"29","2020-03-23T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,69,20,89,290,379,25,29,2,12,393,1098,"",""
"30","2020-03-24T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,71,20,91,288,379,0,7,2,19,400,1180,"",""
"31","2020-03-25T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,70,25,95,280,375,-4,1,2,24,401,1200,"",""
"32","2020-03-26T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,73,24,97,281,378,3,7,2,28,408,1203,"",""
"33","2020-03-27T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,91,24,115,298,413,35,44,2,37,452,1252,"",""
"34","2020-03-28T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,90,26,116,352,468,55,59,2,41,511,1380,"",""
"35","2020-03-29T17:00:00","ITA",2,"Valle d'Aosta",45.73750286,7.320149366,90,26,116,423,539,71,73,2,43,584,1480,"",""
