"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"1","2020-02-24T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,0,140,"",""
"2","2020-02-25T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,2,0,2,0,2,2,2,0,0,2,296,"",""
"3","2020-02-26T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,2,0,2,0,2,0,0,0,0,2,363,"",""
"4","2020-02-27T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,2,0,2,0,2,0,0,0,0,2,410,"",""
"5","2020-02-28T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,5,0,5,2,7,5,6,1,0,8,437,"",""
"6","2020-02-29T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,7,0,7,3,10,3,3,1,0,11,531,"",""
"7","2020-03-01T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,7,0,7,5,12,2,2,1,0,13,572,"",""
"8","2020-03-02T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,7,0,7,5,12,0,0,1,0,13,613,"",""
"9","2020-03-03T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,10,0,10,8,18,6,6,1,0,19,697,"",""
"10","2020-03-04T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,15,2,17,20,37,19,19,1,0,38,776,"",""
"11","2020-03-05T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,26,3,29,31,60,23,23,1,0,61,776,"",""
"12","2020-03-06T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,35,5,40,38,78,18,18,1,0,79,1097,"",""
"13","2020-03-07T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,54,7,61,51,112,34,34,1,0,113,1331,"",""
"14","2020-03-08T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,91,7,98,67,165,53,53,1,0,166,1618,"",""
"15","2020-03-09T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,107,9,116,90,206,41,42,1,1,208,2018,"",""
"16","2020-03-10T18:00:00","ITA",9,"Toscana",43.76923077,11.25588885,91,40,131,129,260,54,56,3,1,264,2573,"",""
"17","2020-03-11T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,87,54,141,173,314,54,56,5,1,320,2804,"",""
"18","2020-03-12T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,100,59,159,193,352,38,44,7,5,364,3165,"",""
"19","2020-03-13T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,134,77,211,244,455,103,106,10,5,470,4049,"",""
"20","2020-03-14T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,160,87,247,367,614,159,160,10,6,630,4595,"",""
"21","2020-03-15T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,175,107,282,481,763,149,151,10,8,781,5132,"",""
"22","2020-03-16T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,175,107,282,559,841,78,85,11,14,866,5910,"",""
"23","2020-03-17T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,329,143,472,552,1024,183,187,12,17,1053,6727,"",""
"24","2020-03-18T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,427,160,587,704,1291,267,277,17,22,1330,7606,"",""
"25","2020-03-19T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,501,178,679,743,1422,131,152,22,38,1482,8873,"",""
"26","2020-03-20T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,601,189,790,923,1713,291,311,33,47,1793,10405,"",""
"27","2020-03-21T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,664,202,866,1039,1905,192,219,35,72,2012,11909,"",""
"28","2020-03-22T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,706,215,921,1223,2144,239,265,42,91,2277,13264,"",""
"29","2020-03-23T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,838,238,1076,1225,2301,157,184,51,109,2461,13851,"",""
"30","2020-03-24T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,918,244,1162,1357,2519,218,238,51,129,2699,15701,"",""
"31","2020-03-25T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,999,251,1250,1526,2776,257,273,54,142,2972,17868,"",""
"32","2020-03-26T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1037,259,1296,1677,2973,197,254,95,158,3226,20952,"",""
"33","2020-03-27T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1053,274,1327,1843,3170,197,224,103,177,3450,23746,"",""
"34","2020-03-28T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1093,277,1370,2141,3511,341,367,108,198,3817,25613,"",""
"35","2020-03-29T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1111,275,1386,2400,3786,275,305,121,215,4122,27579,"",""
"36","2020-03-30T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1116,279,1395,2655,4050,264,290,131,231,4412,30099,"",""
"37","2020-03-31T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1120,293,1413,2813,4226,176,196,138,244,4608,33165,"",""
"38","2020-04-01T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1120,297,1417,3015,4432,206,259,182,253,4867,36575,"",""
"39","2020-04-02T17:00:00","ITA",9,"Toscana",43.76923077,11.25588885,1135,295,1430,3359,4789,357,406,216,268,5273,40724,"",""
