"","data","stato","codice_regione","denominazione_regione","lat","long","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","totale_casi","tamponi","note_it","note_en"
"14","2020-03-08T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,14,0,14,3,17,6,6,0,0,17,163,"",""
"15","2020-03-09T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,25,0,25,5,30,13,13,0,0,30,237,"",""
"16","2020-03-10T18:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,17,9,26,11,37,7,8,0,1,38,310,"",""
"17","2020-03-11T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,17,9,26,11,37,0,0,0,1,38,310,"nd-IT-0001","nd-EN-0001"
"18","2020-03-12T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,47,12,59,19,78,41,46,4,2,84,867,"",""
"19","2020-03-13T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,42,14,56,27,83,5,5,4,2,89,958,"",""
"20","2020-03-14T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,51,14,65,41,106,23,23,4,2,112,1232,"",""
"21","2020-03-15T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,72,28,100,28,128,22,25,6,3,137,1419,"",""
"22","2020-03-16T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,71,37,108,57,165,37,39,7,4,176,1533,"",""
"23","2020-03-17T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,94,32,126,90,216,51,53,7,6,229,1688,"",""
"24","2020-03-18T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,99,41,140,109,249,33,34,7,7,263,2054,"",""
"25","2020-03-19T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,181,47,228,138,366,117,122,8,11,385,2409,"",""
"26","2020-03-20T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,190,48,238,184,422,56,64,10,17,449,2695,"",""
"27","2020-03-21T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,185,44,229,265,494,72,80,13,22,529,3035,"",""
"28","2020-03-22T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,218,49,267,272,539,45,58,15,33,587,3375,"",""
"29","2020-03-23T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,228,52,280,325,605,66,76,20,38,663,3674,"",""
"30","2020-03-24T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,234,57,291,331,622,17,26,21,46,689,4294,"",""
"31","2020-03-25T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,248,59,307,431,738,116,124,23,52,813,4982,"",""
"32","2020-03-26T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,280,64,344,516,860,122,133,23,63,946,5488,"",""
"33","2020-03-27T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,289,71,360,565,925,65,71,24,68,1017,6109,"",""
"34","2020-03-28T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,311,70,381,646,1027,102,116,30,76,1133,7003,"",""
"35","2020-03-29T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,329,68,397,772,1169,142,160,36,88,1293,7730,"",""
"36","2020-03-30T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,322,69,391,778,1169,0,52,74,102,1345,7948,"",""
"37","2020-03-31T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,335,73,408,783,1191,22,56,95,115,1401,8758,"",""
"38","2020-04-01T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,342,71,413,798,1211,20,35,102,123,1436,9610,"",""
"39","2020-04-02T17:00:00","ITA",13,"Abruzzo",42.35122196,13.39843823,341,75,416,835,1251,40,61,113,133,1497,10647,"",""
